id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,product_type,sub_area,area_m,raion_popul,green_zone_part,indust_part,children_preschool,preschool_quota,preschool_education_centers_raion,children_school,school_quota,school_education_centers_raion,school_education_centers_top_20_raion,hospital_beds_raion,healthcare_centers_raion,university_top_20_raion,sport_objects_raion,additional_education_raion,culture_objects_top_25,culture_objects_top_25_raion,shopping_centers_raion,office_raion,thermal_power_plant_raion,incineration_raion,oil_chemistry_raion,radiation_raion,railroad_terminal_raion,big_market_raion,nuclear_reactor_raion,detention_facility_raion,full_all,male_f,female_f,young_all,young_male,young_female,work_all,work_male,work_female,ekder_all,ekder_male,ekder_female,0_6_all,0_6_male,0_6_female,7_14_all,7_14_male,7_14_female,0_17_all,0_17_male,0_17_female,16_29_all,16_29_male,16_29_female,0_13_all,0_13_male,0_13_female,raion_build_count_with_material_info,build_count_block,build_count_wood,build_count_frame,build_count_brick,build_count_monolith,build_count_panel,build_count_foam,build_count_slag,build_count_mix,raion_build_count_with_builddate_info,build_count_before_1920,build_count_1921-1945,build_count_1946-1970,build_count_1971-1995,build_count_after_1995,ID_metro,metro_min_avto,metro_km_avto,metro_min_walk,metro_km_walk,kindergarten_km,school_km,park_km,green_zone_km,industrial_km,water_treatment_km,cemetery_km,incineration_km,railroad_station_walk_km,railroad_station_walk_min,ID_railroad_station_walk,railroad_station_avto_km,railroad_station_avto_min,ID_railroad_station_avto,public_transport_station_km,public_transport_station_min_walk,water_km,water_1line,mkad_km,ttk_km,sadovoe_km,bulvar_ring_km,kremlin_km,big_road1_km,ID_big_road1,big_road1_1line,big_road2_km,ID_big_road2,railroad_km,railroad_1line,zd_vokzaly_avto_km,ID_railroad_terminal,bus_terminal_avto_km,ID_bus_terminal,oil_chemistry_km,nuclear_reactor_km,radiation_km,power_transmission_line_km,thermal_power_plant_km,ts_km,big_market_km,market_shop_km,fitness_km,swim_pool_km,ice_rink_km,stadium_km,basketball_km,hospice_morgue_km,detention_facility_km,public_healthcare_km,university_km,workplaces_km,shopping_centers_km,office_km,additional_education_km,preschool_km,big_church_km,church_synagogue_km,mosque_km,theater_km,museum_km,exhibition_km,catering_km,ecology,green_part_500,prom_part_500,office_count_500,office_sqm_500,trc_count_500,trc_sqm_500,cafe_count_500,cafe_sum_500_min_price_avg,cafe_sum_500_max_price_avg,cafe_avg_price_500,cafe_count_500_na_price,cafe_count_500_price_500,cafe_count_500_price_1000,cafe_count_500_price_1500,cafe_count_500_price_2500,cafe_count_500_price_4000,cafe_count_500_price_high,big_church_count_500,church_count_500,mosque_count_500,leisure_count_500,sport_count_500,market_count_500,green_part_1000,prom_part_1000,office_count_1000,office_sqm_1000,trc_count_1000,trc_sqm_1000,cafe_count_1000,cafe_sum_1000_min_price_avg,cafe_sum_1000_max_price_avg,cafe_avg_price_1000,cafe_count_1000_na_price,cafe_count_1000_price_500,cafe_count_1000_price_1000,cafe_count_1000_price_1500,cafe_count_1000_price_2500,cafe_count_1000_price_4000,cafe_count_1000_price_high,big_church_count_1000,church_count_1000,mosque_count_1000,leisure_count_1000,sport_count_1000,market_count_1000,green_part_1500,prom_part_1500,office_count_1500,office_sqm_1500,trc_count_1500,trc_sqm_1500,cafe_count_1500,cafe_sum_1500_min_price_avg,cafe_sum_1500_max_price_avg,cafe_avg_price_1500,cafe_count_1500_na_price,cafe_count_1500_price_500,cafe_count_1500_price_1000,cafe_count_1500_price_1500,cafe_count_1500_price_2500,cafe_count_1500_price_4000,cafe_count_1500_price_high,big_church_count_1500,church_count_1500,mosque_count_1500,leisure_count_1500,sport_count_1500,market_count_1500,green_part_2000,prom_part_2000,office_count_2000,office_sqm_2000,trc_count_2000,trc_sqm_2000,cafe_count_2000,cafe_sum_2000_min_price_avg,cafe_sum_2000_max_price_avg,cafe_avg_price_2000,cafe_count_2000_na_price,cafe_count_2000_price_500,cafe_count_2000_price_1000,cafe_count_2000_price_1500,cafe_count_2000_price_2500,cafe_count_2000_price_4000,cafe_count_2000_price_high,big_church_count_2000,church_count_2000,mosque_count_2000,leisure_count_2000,sport_count_2000,market_count_2000,green_part_3000,prom_part_3000,office_count_3000,office_sqm_3000,trc_count_3000,trc_sqm_3000,cafe_count_3000,cafe_sum_3000_min_price_avg,cafe_sum_3000_max_price_avg,cafe_avg_price_3000,cafe_count_3000_na_price,cafe_count_3000_price_500,cafe_count_3000_price_1000,cafe_count_3000_price_1500,cafe_count_3000_price_2500,cafe_count_3000_price_4000,cafe_count_3000_price_high,big_church_count_3000,church_count_3000,mosque_count_3000,leisure_count_3000,sport_count_3000,market_count_3000,green_part_5000,prom_part_5000,office_count_5000,office_sqm_5000,trc_count_5000,trc_sqm_5000,cafe_count_5000,cafe_sum_5000_min_price_avg,cafe_sum_5000_max_price_avg,cafe_avg_price_5000,cafe_count_5000_na_price,cafe_count_5000_price_500,cafe_count_5000_price_1000,cafe_count_5000_price_1500,cafe_count_5000_price_2500,cafe_count_5000_price_4000,cafe_count_5000_price_high,big_church_count_5000,church_count_5000,mosque_count_5000,leisure_count_5000,sport_count_5000,market_count_5000,price_doc
22000,2014-08-28,58,33,11,22,1,2000,2,10,3,Investment,Golovinskoe,8841267.454,100846,0.127511955,0.307466659,4566,2646,4,5048,5396,6,0,325,2,0,3,2,no,0,5,9,no,no,no,no,no,no,yes,no,94564,42750,51814,10346,5389,4957,63495,32914,30581,27005,7943,19062,4566,2414,2152,5048,2588,2460,11692,6102,5590,19935,9452,10483,9037,4702,4335,326,101,0,0,149,2,74,0,0,0,326,6,4,217,85,14,9,3.83464254,2.585378726,30.76111416,2.56342618,0.192823144,0.511846379,1.37242051,0.685589528,0.265831095,20.6568,2.053394,3.819728,1.043227131,12.51872557,54,1.043227131,1.796382024,54,0.092650982,1.111811786,0.768224041,no,3.639631058,8.413456314,11.1681523,11.83972955,13.24388057,2.12007906,5,no,2.768521088,14,0.409346943,no,10.32503807,121,11.34623678,5,19.36201327,1.543408968,3.228655517,0.736634219,3.518551681,2.233874416,19.00824694,3.469724718,0.885283655,2.420279362,4.0264352,4.068034081,2.185244481,1.172808827,3.827516453,0.238795572,2.123400069,1.64018939,1.636393579,1.548279291,0.755162261,0.511846379,0.652786143,0.670127721,4.867897994,9.612563957,7.334252143,5.10854076,0.512152219,poor,0,14.08,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32,16.37,0,0,0,0,4,575,1000,787.5,0,1,2,1,0,0,0,1,1,0,0,2,0,5.96,16.78,0,0,0,0,14,715.38,1192.31,953.85,1,1,6,6,0,0,0,2,4,0,0,9,0,10.51,20.36,8,92480,4,128600,32,667.74,1112.9,890.32,1,9,11,10,0,1,0,3,6,0,0,14,1,11.93,22.2,18,447238,14,280904,80,690.79,1164.47,927.63,4,20,30,21,2,3,0,8,8,0,0,23,2,14.67,20.22,51,1391833,43,1473173,209,678.31,1140.21,909.26,20,59,65,49,11,5,0,12,22,1,0,65,7,10600000
22001,2014-08-29,50,NA,8,17,1,NA,1,1,1,OwnerOccupier,Poselenie Moskovskij,40366999.51,21819,0.492839845,0.075778755,1497,NA,0,1437,NA,0,0,NA,0,0,3,3,no,0,2,3,no,no,no,no,no,no,no,no,7341,3445,3898,3128,1618,1510,13996,7394,6602,4695,1331,3365,1497,777,721,1437,741,697,3523,1830,1694,1566,840,727,2756,1423,1333,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,140,2.523793307,1.780698378,21.36838053,1.780698378,1.075394542,1.690124396,2.16675932,0.294152886,0.437857035,15.16405,0.739499,13.85367,2.91910099,35.02921188,105,3.326431841,4.038187159,105,1.055815136,12.66978163,0.191540335,no,0.718059617,11.05825993,13.75272697,14.92160159,15.75024402,0.718059625,1,no,0.954182511,22,1.720822365,no,21.64127957,50,10.10166169,8,23.58812822,10.90144317,2.925450824,0.578666839,5.006272263,1.667530129,8.281028062,1.948185066,0.844726744,4.24041013,6.372093119,6.8475179,3.459267274,1.046516712,21.02663077,1.811201877,5.842594857,5.247595965,0.742543405,0.743496624,1.277151046,1.690124396,2.452731075,0.432104824,6.132985602,6.408504028,3.735006239,2.174040194,0.986603097,no data,11.66,0.97,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,28.97,5.07,1,19000,1,75000,1,500,1000,750,0,0,1,0,0,0,0,0,1,0,0,1,0,30.06,6.84,1,19000,3,105000,2,500,1000,750,1,0,1,0,0,0,0,0,1,0,0,1,1,30.63,6.32,2,123000,4,209000,2,500,1000,750,1,0,1,0,0,0,0,0,2,0,0,2,2,28.23,12.96,7,247000,9,312350,18,778.57,1285.71,1032.14,4,3,4,5,2,0,0,1,4,0,1,6,2,25.33,14.51,17,467146,21,661050,100,730.77,1230.77,980.77,9,25,30,22,13,1,0,5,15,0,3,35,3,5553183
22002,2014-08-29,84,52,6,14,1,2001,3,10,3,Investment,Beskudnikovskoe,3292112.223,73148,0.063747248,0.092290642,4449,2757,5,4346,7327,5,0,165,1,0,3,2,no,0,2,2,no,no,no,no,no,no,no,no,41504,18905,22599,9308,4847,4461,44449,22170,22279,19391,5955,13436,4449,2281,2168,4346,2283,2063,10271,5360,4911,9620,4575,5045,8322,4322,4000,222,97,0,0,4,13,108,0,0,0,222,0,0,144,25,53,90,1.411904895,0.734896101,7.59585128,0.632987607,0.113823189,0.14834118,1.688299634,0.425146137,0.304726866,22.48004,2.167266,0.753526,1.597845123,19.17414148,64,1.699753617,2.617976797,64,0.14153658,1.698438959,0.533509951,no,5.550219767,7.452715979,9.872986413,10.48238121,11.96355759,0.290958374,5,no,5.427095838,36,0.585315818,no,8.302652076,121,11.14801803,5,16.93296507,2.17784001,1.138931042,1.238932291,5.062574746,2.073895244,16.24380089,3.112569303,0,2.058151789,4.522309133,4.406985176,1.204515078,3.113552808,7.017245185,2.767908519,3.686572251,2.093904413,0.512711553,0.374221454,0.317165969,0.14834118,1.607681511,0.239092541,1.766972202,7.568398067,4.882768779,3.902889719,0.238388778,poor,2.54,14.42,2,50000,0,0,4,666.67,1166.67,916.67,1,0,2,1,0,0,0,0,1,0,0,2,0,10.67,45.06,3,68633,1,19000,7,833.33,1333.33,1083.33,1,0,2,4,0,0,0,0,1,0,0,3,0,8.6,42.62,6,212413,6,120430,14,690.91,1136.36,913.64,3,2,4,5,0,0,0,0,3,0,0,8,0,6.54,34.58,13,266680,6,120430,36,680.65,1129.03,904.84,5,7,11,12,1,0,0,2,9,1,0,11,0,9.36,27.89,24,454920,19,541735,81,741.67,1250,995.83,9,18,28,18,4,4,0,4,13,1,0,24,2,17.33,19.24,44,1061312,42,1334332,198,708.11,1189.19,948.65,13,50,65,51,15,4,0,14,29,1,2,81,9,16000000
22003,2014-08-29,53,32,10,17,1,2002,2,9,4,Investment,Teplyj Stan,8392316.21,130396,0.426396297,0.002211665,6980,4523,5,7614,9443,6,0,NA,1,0,3,2,no,0,5,3,no,no,no,yes,no,yes,no,no,90114,47893,42221,15541,7898,7643,76776,38310,38466,38079,12885,25194,6980,3496,3484,7614,3917,3697,17425,8832,8593,20655,10812,9843,13682,6913,6769,195,53,0,0,3,8,131,0,0,0,196,0,0,0,183,13,59,2.90159026,1.012001473,5.089129532,0.424094128,0.186565772,0.383566765,0.794107945,0.086909743,2.112285883,12.63933,2.083855,10.97324,6.900689993,82.80827991,33,7.932340705,8.729378839,105,0.149037338,1.788448058,0.505001772,no,1.333597411,9.70643047,12.35772207,13.49175895,14.25834593,0.088103115,16,yes,1.047857391,51,3.858167609,no,15.17626425,32,6.684465025,8,20.84560161,8.847044121,0.3242252,2.496001775,5.813280579,4.336428356,3.741763229,3.937003579,0.70226391,1.951954888,3.856478329,2.247032168,1.92376577,2.595076018,24.66181926,3.553900727,1.353348844,2.801414704,0.202310128,1.115901939,1.375867761,0.383566765,1.11564076,0.578853683,3.651521244,1.961119039,3.620124518,3.059080912,0.196480191,good,22.14,0,0,0,1,28800,1,1000,1500,1250,0,0,0,1,0,0,0,0,0,0,0,0,0,43.53,0,0,0,1,28800,11,881.82,1454.55,1168.18,0,4,1,2,4,0,0,0,2,0,0,3,0,48.74,0,1,70000,1,28800,19,831.58,1368.42,1100,0,6,3,5,5,0,0,1,6,0,1,9,0,44.34,0,4,128693,5,215200,52,692,1160,926,2,17,14,12,7,0,0,1,10,0,1,14,0,34.72,2.5,7,145488,15,422796,84,703.8,1189.87,946.84,5,22,27,19,11,0,0,2,15,0,1,27,2,24.94,13.79,35,954356,42,1253571,188,683.52,1153.41,918.47,12,51,61,45,18,1,0,6,28,1,3,53,8,12600000
22004,2014-08-29,75,40,9,16,1,2002,3,10,NA,Investment,Troickij okrug,16315230.22,39873,0.375973778,0.07542368,2870,NA,0,3097,NA,0,0,NA,0,0,3,2,no,0,0,0,no,no,no,no,no,no,no,no,143661,65525,78136,6363,3275,3088,24009,12128,11881,9501,2903,6598,2870,1442,1428,3097,1618,1479,7060,3655,3405,31367,15559,15808,5569,2857,2712,2,0,1,0,1,0,0,0,0,0,2,0,1,0,1,0,45,24.07519443,19.47681603,233.7038925,19.47532438,0.213796521,13.41699628,14.83179618,0.234718435,0.09679443,14.5835,1.730968,24.44931,17.98123454,215.7748145,108,17.98123454,21.32353029,108,0.196987069,2.363844829,0.438548071,no,17.8599121,30.23283876,33.01418575,34.14782096,34.90468132,1.696278266,38,no,10.54791916,46,12.83851464,no,36.95360258,32,21.92447059,8,36.74790171,29.27415574,18.86826175,15.27635158,23.25165163,18.51204569,18.66869019,2.430280298,0.75291736,22.60832645,23.14532956,26.50505398,21.67116917,7.964336904,43.87365046,19.23632769,23.32749788,19.54732349,11.99727408,11.99727408,0.340467719,13.41699628,14.58427875,1.177965323,16.05909596,26.06604011,23.43243909,18.93998767,1.559696903,no data,15.74,5.04,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,28.49,3.67,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,31.25,3.33,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,2,0,31.12,4.17,0,0,0,0,1,1500,2500,2000,0,0,0,0,1,0,0,0,3,0,0,3,2,39.15,3.96,0,0,0,0,6,1416.67,2333.33,1875,0,0,1,1,3,1,0,0,5,0,0,3,2,48.41,3.09,0,0,0,0,7,1285.71,2142.86,1714.29,0,0,2,1,3,1,0,0,6,0,0,3,2,7400000
22005,2014-08-29,37,NA,1,17,1,NA,1,1,NA,OwnerOccupier,Solncevo,11324091.93,113897,0.083809588,0.371148999,8340,3953,5,7065,9700,5,0,750,2,0,4,3,no,0,5,1,no,no,no,no,no,no,no,no,125111,58773,66338,16287,8039,8248,75334,38138,37196,22276,6180,16096,8340,4048,4292,7065,3531,3534,17908,8858,9050,31549,16302,15247,14555,7157,7398,801,43,352,79,126,16,157,0,23,5,800,23,181,278,131,187,72,3.343157098,2.037572376,24.45086851,2.037572376,0.230087038,0.04459936,0.625673389,0.360319379,0.631064057,16.10365,2.151334,15.56946,2.29359307,27.52311684,34,2.29359307,3.663182966,34,0.25728789,3.087454675,0.589156933,no,2.117384606,12.21383392,14.92960711,16.10136105,16.95715522,1.794569802,22,no,2.117384601,1,0.874445119,no,20.07121948,50,12.32776506,8,25.06251527,12.40586978,4.687054293,1.538219323,5.465041738,0.949479998,10.50713143,1.320120888,0.564069207,2.12828913,5.574741661,9.07362127,3.945655003,2.435398912,20.22927931,1.242740923,6.335964805,6.167763708,0.638040846,1.052999269,0.509984541,0.04459936,3.407720403,2.002972701,7.838955416,8.634607397,4.896656131,0.450703247,0.60116514,good,8.93,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,15.52,4.14,0,0,4,53350,6,660,1100,880,1,1,2,2,0,0,0,0,0,0,1,3,1,18.43,18.12,1,60000,5,115350,7,660,1100,880,2,1,2,2,0,0,0,0,0,0,1,3,2,21.72,26.77,2,79000,5,115350,7,660,1100,880,2,1,2,2,0,0,0,0,0,0,1,4,2,25.46,17.39,3,183000,7,294350,12,566.67,1000,783.33,3,2,5,2,0,0,0,0,3,0,1,5,2,26.11,12.31,11,389504,15,473050,52,821.74,1369.57,1095.65,6,11,14,12,7,2,0,5,14,0,3,17,2,3694600
22006,2014-08-29,32,18,8,9,1,1979,1,6,NA,Investment,Dmitrovskoe,7126815.285,87713,0.125881935,0.458174486,4533,1208,4,4439,5671,4,0,1130,1,0,6,2,no,0,5,1,yes,no,no,no,no,no,yes,no,100846,46246,54600,9604,4946,4658,61600,31908,29692,16509,4434,12075,4533,2319,2214,4439,2273,2166,10797,5557,5240,20900,10635,10265,8382,4287,4095,218,55,0,0,72,6,85,0,0,0,218,0,3,125,68,22,40,5.018199789,3.61259793,43.35117516,3.61259793,0.240385506,0.264825706,0.60667407,0.038623536,0.451101107,19.71533,2.456068,4.289291,2.066655499,24.79986599,52,1.983579357,3.180609374,52,0.040416109,0.484993303,0.710794992,no,1.413210761,11.55049728,14.0859913,14.70626684,16.17919876,0.421193673,5,no,1.413210777,1,0.963335693,no,12.75316929,121,17.75759235,1,20.94247624,1.444236182,2.968830077,0.695144825,1.78495045,4.630111731,12.39825617,2.707693847,0.376770944,2.680779867,7.300658359,8.857502393,0.819699869,0.490681338,12.89794006,0.856637436,2.85329195,0.264825706,0.367115009,0.66155424,0.244955567,0.264825706,1.429678171,2.589062084,5.404896096,15.63713121,9.052699096,7.982706198,0.357709774,poor,5.88,0.96,0,0,2,55900,1,500,1000,750,0,0,1,0,0,0,0,0,0,0,0,1,0,8.73,40.9,1,140000,3,195900,5,800,1400,1100,0,0,3,1,1,0,0,0,0,0,0,4,0,9.95,48.46,4,218500,7,330900,11,863.64,1454.55,1159.09,0,0,5,4,2,0,0,1,0,0,0,6,1,18.18,36.15,5,258500,9,560900,24,982.61,1630.43,1306.52,1,2,8,7,4,2,0,1,0,0,0,8,1,15.78,26.32,10,350457,14,671164,44,877.5,1450,1163.75,4,7,13,13,4,3,0,4,5,0,0,16,2,14.68,16.19,23,685997,37,1286369,116,751.4,1257.01,1004.21,9,23,40,33,7,4,0,9,13,0,0,42,3,5500000
22007,2014-08-29,80,77,17,25,1,2015,3,1,1,OwnerOccupier,Mitino,12583535.69,178473,0.194702869,0.069753361,13087,6839,9,13670,17063,10,0,NA,1,0,17,6,no,0,11,4,no,no,no,no,no,no,no,no,21155,9828,11327,28563,14680,13883,120381,60040,60341,29529,9083,20446,13087,6645,6442,13670,7126,6544,32063,16513,15550,3292,1450,1842,24934,12782,12152,458,9,51,12,124,50,201,0,9,2,459,13,24,40,130,252,4,0.059640878,0.031808467,0.381701605,0.031808467,0.556067501,0.249131302,0.528763787,0.55797958,0.624706911,15.89356,1.66769,13.38342,3.213865715,38.56638859,4,2.738477797,3.53296847,4,0.121737018,1.46084422,0.749486176,no,1.744855881,13.92593627,16.72417404,17.56646253,18.7528432,1.74485586,1,no,2.091602989,17,1.663274969,no,16.40081357,83,5.657051233,1,26.84732323,8.840886357,5.509276754,0.833462483,10.31021334,0.678700261,26.8151501,0.952690705,0.341012026,1.12439695,6.957170213,6.307953906,4.102199295,2.625925206,7.712327481,2.637733749,9.825594514,0.249131302,0.179545077,0,0.712886273,0.249131302,0.171437871,0.854763166,14.36659569,15.91311058,15.508916,4.095606062,0.080431024,good,0,0,2,11000,5,77480,7,485.71,857.14,671.43,0,3,3,1,0,0,0,1,0,0,0,1,0,21.7,4.06,2,11000,6,80780,13,592.31,1000,796.15,0,4,5,4,0,0,0,1,1,0,0,5,1,27.68,7.3,2,11000,10,128092,24,716.67,1208.33,962.5,0,4,10,8,2,0,0,1,1,0,0,9,2,25.52,7.03,4,167000,11,137756,30,733.33,1233.33,983.33,0,5,12,10,3,0,0,1,2,0,0,15,2,25.12,5.28,4,167000,17,315256,37,732.43,1243.24,987.84,0,7,15,10,5,0,0,4,4,0,0,19,3,17.39,4.8,10,414166,27,1019560,71,889.39,1484.85,1187.12,5,9,25,18,11,2,1,5,4,0,1,32,5,9130770
22008,2014-08-29,32,19,1,9,1,1969,1,6,2,Investment,Chertanovo Severnoe,6206098.885,111874,0.12812331,0.089039719,4720,2881,5,7976,6784,5,0,NA,0,0,10,3,no,0,11,5,no,no,no,no,no,no,no,no,125354,56569,68785,13326,5986,7340,73503,34020,39483,25045,6881,18164,4720,2321,2399,7976,3355,4621,14552,6590,7962,27006,12822,14184,12093,5372,6721,158,24,0,0,0,3,131,0,0,0,157,0,0,56,93,8,80,2.627531618,1.259435136,15.11322163,1.259435136,0.279768789,0.503655941,3.606589288,0.254412201,1.171391848,5.373703,2.35192,3.842026,2.190114281,26.28137137,82,5.784631864,8.386058099,21,0.077258011,0.927096138,0.359023156,no,5.940365285,7.694663147,10.89510679,12.32423719,12.95314099,1.016993339,2,no,5.934523325,40,1.379460375,no,12.92721406,32,7.463406579,2,13.08401357,4.942638795,1.329920982,1.035847583,6.334990773,1.46495303,8.762105873,3.16121836,0.645371926,1.013002988,8.475301609,9.2745991,2.256667866,3.54523406,15.83686237,3.80096354,3.880738339,0.528641572,0.156345103,0.608732939,0.243608769,0.503655941,0.301142267,0.340361877,1.921369359,4.325232415,5.124011489,3.052211206,0.137929308,poor,9.92,0,0,0,1,35000,4,525,875,700,0,2,1,1,0,0,0,1,1,0,0,0,0,10.77,0,3,412562,5,89100,17,640,1033.33,836.67,2,7,2,5,1,0,0,1,1,0,0,6,0,14.47,3.21,3,412562,10,360100,31,631.03,1051.72,841.38,2,11,8,8,2,0,0,1,2,0,0,7,0,18.46,11.96,6,512562,13,492100,40,640.54,1054.05,847.3,3,14,9,12,2,0,0,2,2,1,0,13,0,23.4,22.13,11,591362,19,885003,77,622.22,1055.56,838.89,5,26,24,16,6,0,0,2,8,1,0,20,5,24.94,17.89,39,1743401,52,1734630,153,653.52,1098.59,876.06,11,46,47,38,10,1,0,6,29,1,4,44,12,1000000
22009,2014-08-29,43,27,5,9,1,1976,2,5,2,Investment,Zjablikovo,4602089.659,130229,0.114157061,0,8450,3909,4,8647,8294,5,0,810,0,0,5,1,no,0,5,0,no,no,no,no,no,no,no,yes,48439,21571,26868,18221,9702,8519,82231,41640,40591,29777,9277,20500,8450,4485,3965,8647,4620,4027,20294,10750,9544,10403,4913,5490,16051,8543,7508,160,25,0,0,0,1,134,0,0,0,160,0,0,0,149,11,96,1.656467296,0.441724609,5.300695303,0.441724609,0.114879165,0.137018337,1.542020959,0.284764491,1.241330179,4.940672,1.763091,6.704807,5.165685423,61.98822507,27,4.9135435,7.3860066,27,0.322034614,3.86441537,1.350933034,no,1.938643415,10.75536478,14.08758586,15.66302466,16.33743071,1.938643419,1,no,2.77634784,23,3.693605858,no,17.58014971,32,0.84201835,6,5.570823268,4.921826073,1.935317695,2.052355059,5.128550327,5.98082341,3.076861657,1.236217605,0.255341266,1.128000367,2.022173944,6.427171705,4.900511244,1.581867549,2.252839411,2.438240688,1.277615003,1.957843136,0.670718569,1.513105528,0.784789372,0.137018337,1.418032697,1.372644519,8.385660043,12.71125834,3.728978196,5.025135182,0.487058658,poor,1.06,0,0,0,0,0,1,1500,2500,2000,0,0,0,0,1,0,0,0,0,0,0,2,0,5.35,0,0,0,5,162767,6,720,1200,960,1,2,1,1,1,0,0,0,0,0,0,6,1,9.26,0.78,0,0,7,306267,19,600,1027.78,813.89,1,6,7,4,1,0,0,1,2,0,0,10,2,15.9,1.64,2,54500,9,368021,36,602.94,1029.41,816.18,2,10,14,9,1,0,0,2,5,0,0,12,3,20.44,2.74,2,54500,20,910409,50,700,1191.49,945.74,3,13,19,10,3,2,0,3,6,0,0,21,4,18.79,4.65,5,223771,39,1944466,114,647.52,1103.96,875.74,13,33,38,21,7,2,0,7,13,0,1,43,11,7000000
